	MAG_ID	classification	fastani_reference	Marker lineage	n_genomes	n_markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
0	G80568_pe_bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	GCF_001458595.1	o__Clostridiales (UID1375)	50	332	124	263	69	0	0	0	0	11.3	0.0	0.0
1	G80568_pe_bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	GCF_001458595.1	o__Clostridiales (UID1375)	50	332	124	263	69	0	0	0	0	11.3	0.0	0.0
2	G80568_pe_bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	GCF_001458595.1	o__Clostridiales (UID1375)	50	332	124	263	69	0	0	0	0	11.3	0.0	0.0
3	G80568_pe_bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	GCF_001458595.1	o__Clostridiales (UID1375)	50	332	124	263	69	0	0	0	0	11.3	0.0	0.0
4	G80568_pe_bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	GCF_001458595.1	o__Clostridiales (UID1375)	50	332	124	263	69	0	0	0	0	11.3	0.0	0.0
5	G80568_pe_bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	GCF_001458595.1	o__Clostridiales (UID1375)	50	332	124	263	69	0	0	0	0	11.3	0.0	0.0
6	G80568_pe_bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	GCF_001458595.1	o__Clostridiales (UID1375)	50	332	124	263	69	0	0	0	0	11.3	0.0	0.0
7	G80568_pe_bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	GCF_001458595.1	o__Clostridiales (UID1375)	50	332	124	263	69	0	0	0	0	11.3	0.0	0.0
8	G80568_pe_bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	GCF_001458595.1	o__Clostridiales (UID1375)	50	332	124	263	69	0	0	0	0	11.3	0.0	0.0
9	G80568_pe_bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	GCF_001458595.1	o__Clostridiales (UID1375)	50	332	124	263	69	0	0	0	0	11.3	0.0	0.0
